,index,zip,outflow
212,678,24016,3890070069876.2515
213,644,22655,3855962121498.9976
214,470,22911,3785817097798.254
215,601,22546,3551450032418.536
216,656,22980,3473007461500.595
217,237,24179,3382652208394.5283
218,675,24013,3342954943687.7925
219,5,23103,3338724864083.7974
220,560,20141,3291664721829.2847
221,490,23072,3241230019679.496
222,526,24401,3178757062011.563
223,657,23002,3148933378412.0063
224,328,23696,3141759044120.5996
225,120,24541,2996436603104.321
226,400,23604,2984800287817.884
227,119,24540,2930721581893.556
228,552,20119,2874305871422.8657
229,703,23061,2866534101863.429
230,423,22807,2681842515847.4375
231,105,24504,2677425662526.8003
232,3,23093,2649897365257.1743
233,344,24073,2562464102638.3535
234,89,24060,2510459643966.449
235,583,22443,2454567966468.2983
236,690,22728,2415714010875.154
237,10,20158,2356794178844.0576
238,34,23141,2352496970501.3833
239,174,22963,2351245472582.9673
240,551,20117,2342490538924.248
241,40,23168,2310318230262.94
242,482,22942,2308412037026.93
243,501,22134,2293502170693.181
244,376,23511,2289580547213.54
245,30,20180,2268392765956.4956
246,19,23117,2209476855626.543
247,303,23851,2131309293789.3489
248,518,23192,2121800241986.13
249,489,23069,2055613990368.7795
250,33,23140,1979684859587.1558
251,135,24572,1975699466424.3955
252,399,23603,1970054676915.5786
253,68,23457,1969016695286.9067
254,441,22835,1965471774283.769
255,550,20115,1953915482968.6243
256,559,20137,1879461577822.9614
257,71,23487,1873716108378.241
258,682,23015,1848824791423.6487
259,618,22580,1820398111193.5115
260,321,23690,1793375777803.6113
261,621,22603,1792018359357.4446
262,365,24112,1790341615089.873
263,623,22611,1784255221804.7625
264,110,24523,1778352315095.2344
265,646,22657,1777799310988.8103
266,57,23436,1764254575749.761
267,645,22656,1738582543874.4875
268,222,24151,1709826531041.672
269,143,24590,1674236795436.7544
270,486,23063,1671996502388.1455
271,108,24521,1635615074743.573
272,216,24141,1625486576521.8792
273,641,22645,1613772928296.3618
274,173,22960,1590384161186.1604
275,637,22973,1582777235815.9724
276,688,22724,1580465070606.9866
277,265,23842,1551851575728.3022
278,425,22812,1537778893403.084
279,595,22514,1485406165362.3013
280,96,24477,1481504251545.567
281,474,22932,1480945852662.9224
282,436,22827,1454149886043.0188
283,572,23901,1422333923861.3315
284,440,22834,1420297333289.0525
285,374,20135,1413139303047.0054
286,469,22904,1404108195910.888
287,693,23030,1396110815240.954
288,416,22737,1394083007495.3318
289,22,23124,1356931113399.712
290,302,23847,1350160472990.321
291,689,22727,1337384530234.3237
292,691,23024,1316375649815.1467
293,429,22824,1299220272624.9268
294,87,24055,1295176697866.5403
295,649,22664,1274412759227.6826
296,122,24550,1270786605624.507
297,409,23310,1235293597912.953
298,462,22849,1229210434544.7056
299,347,24078,1220269620584.6963
300,205,20106,1202874290754.961
301,651,22712,1171910497944.05
302,35,23146,1165894498509.5093
303,480,22939,1150851876653.4814
304,211,22427,1149882945346.7817
305,494,23083,1145867011033.8555
306,638,22974,1127581691436.9531
307,540,24450,1125894672950.9666
308,606,22560,1125588981878.9775
309,90,24064,1124610259871.3594
310,235,24175,1090538573964.3406
311,82,23883,1083666238332.6729
312,6,23106,1064139559909.4763
313,85,23888,1059548593607.1112
314,80,23881,1057692804616.1382
315,98,24482,1054373387638.9535
316,476,22936,1050178858310.484
317,109,24522,1024223635369.2648
318,471,22920,1023983268119.4757
319,362,24101,1021090216697.2725
320,624,22620,1019881913152.6731
321,351,24084,1012438683289.6875
322,91,24065,1011294080999.4175
323,260,23837,1004773449072.7512
324,564,23898,998271133254.3176
325,419,22742,988017709896.2899
326,367,24121,975033674239.4463
327,655,22718,973700996068.1691
328,408,22734,963460451881.7853
329,596,22520,948574156207.5234
330,485,22947,947535054637.9714
331,516,23187,934932392402.1278
332,648,22663,931725044600.234
333,229,23833,930517693903.9141
334,481,22940,923254202866.1007
335,428,22821,921290095805.8619
336,4,23102,918764985928.8774
337,615,22572,911815615058.7821
338,264,23841,911653939354.5706
339,627,22625,909888729306.7467
340,477,23433,906933361699.2914
341,131,24563,905120781626.4102
342,336,23801,896816051684.4739
343,361,24095,883396825194.6432
344,680,23009,877514995713.8104
345,531,24426,871424992500.6371
346,58,23437,856152553478.7605
347,570,22433,853152664216.2587
348,287,24301,845966849667.3514
349,587,22473,844292143594.3595
350,340,23930,840634425158.104
351,47,20198,829522463580.5393
352,51,23177,827049071865.3049
353,206,23824,820830002818.5712
354,446,22846,818519908668.345
355,23,23126,804719036821.9537
356,115,24531,776691731778.4443
357,59,23438,776150735348.5979
