,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,5.0,2222.0,0.0,0.0,0.0,3107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,9.0,0.0,0.0,92.0,22978.0,0.0,0.0,11.0,31063.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,5.0,173.0,7.0,15.0,1101.0,97766.0,16.0,2.0,110.0,96874.0,0.0,14.0,18.0,0.0,70.0,22.0,2.0,80.0,1.0,49.0,6.0,70.0,3.0,347.0,62.0,36.0,4.0,33.0,0.0,5.0,0.0,43.0,0.0,49.0,1.0,41.0,0.0,2.0,7.0,23.0,0.0,21.0,30.0,20.0,36.0,23.0,65.0,7.0,44.0,24.0
6,232.0,1969.0,125.0,248.0,12104.0,76829.0,305.0,43.0,1340.0,68667.0,2.0,227.0,222.0,2.0,1064.0,243.0,22.0,1241.0,77.0,595.0,240.0,957.0,235.0,4044.0,855.0,517.0,157.0,497.0,97.0,44.0,90.0,477.0,1.0,492.0,56.0,484.0,57.0,111.0,95.0,238.0,28.0,267.0,461.0,264.0,604.0,500.0,783.0,181.0,779.0,352.0
7,2551.0,20458.0,1616.0,2756.0,98894.0,1.0,3715.0,561.0,13808.0,4.0,41.0,2821.0,2490.0,26.0,11855.0,2799.0,244.0,13802.0,992.0,6892.0,2885.0,10820.0,3077.0,40204.0,9748.0,5748.0,1716.0,5423.0,1549.0,531.0,1024.0,5320.0,77.0,5346.0,729.0,5179.0,646.0,1410.0,1167.0,3083.0,248.0,3216.0,5253.0,2927.0,6670.0,5469.0,8508.0,2056.0,8464.0,4013.0
8,26608.0,98022.0,17540.0,29166.0,87804.0,1.0,37749.0,6264.0,98649.0,4.0,682.0,29433.0,26437.0,359.0,98935.0,28871.0,2899.0,98759.0,11091.0,67232.0,29852.0,98989.0,31581.0,95923.0,91402.0,56981.0,18059.0,53028.0,16419.0,5897.0,11131.0,51783.0,1156.0,53689.0,8074.0,50511.0,7742.0,15883.0,13398.0,31126.0,2818.0,32809.0,52007.0,30409.0,65067.0,54046.0,82432.0,21979.0,80766.0,40832.0
9,97444.0,79369.0,98377.0,97229.0,0.0,1.0,96269.0,62191.0,86082.0,4.0,7980.0,97165.0,97492.0,4258.0,88075.0,97179.0,30661.0,86118.0,99007.0,93059.0,97109.0,89110.0,96920.0,59449.0,90190.0,94216.0,98280.0,94544.0,98451.0,57860.0,98976.0,94637.0,13355.0,94605.0,76861.0,94780.0,73618.0,98588.0,98826.0,96894.0,29650.0,96763.0,94717.0,97053.0,93294.0,94508.0,91427.0,97937.0,91492.0,95963.0
10,73160.0,0.0,82335.0,70586.0,0.0,1.0,61946.0,93693.0,0.0,4.0,76686.0,70339.0,73341.0,43553.0,0.0,70886.0,97079.0,0.0,88832.0,32173.0,69908.0,54.0,68184.0,0.0,7743.0,42500.0,81784.0,46475.0,83484.0,94059.0,88779.0,47740.0,98843.0,45819.0,91870.0,49005.0,92201.0,84006.0,86507.0,68636.0,97154.0,66924.0,47532.0,69327.0,34329.0,45454.0,16782.0,77840.0,18455.0,58816.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37246.0,0.0,4.0,91979.0,0.0,0.0,95716.0,0.0,0.0,69093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41604.0,0.0,0.0,86568.0,0.0,22409.0,0.0,25736.0,0.0,0.0,0.0,70102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,22630.0,0.0,0.0,56086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
