,London,Birmingham,Manchester,Newcastle,Liverpool,Bristol,Sheffield
London,0.0,162.68932172104226,261.9835266308375,402.3023360369959,285.86807223281585,170.18232394157835,227.49254275947592
Birmingham,162.68932172104226,0.0,113.47299906462924,281.5271804803554,125.33920179397923,123.66284706497656,104.6027919146702
Manchester,261.9835266308375,113.47299906462924,0.0,174.17214677784207,49.6723457430251,226.81701983734473,52.675902381194625
Newcastle,402.3023360369959,281.5271804803554,174.17214677784207,0.0,198.45998623093035,400.3563730723768,181.05212605220643
Liverpool,285.86807223281585,125.33920179397923,49.6723457430251,198.45998623093035,0.0,218.5188781783675,100.58128352991473
Bristol,170.18232394157835,123.66284706497656,226.81701983734473,400.3563730723768,218.5188781783675,0.0,227.9136881662397
Sheffield,227.49254275947592,104.6027919146702,52.675902381194625,181.05212605220643,100.58128352991473,227.9136881662397,0.0
