,0,1,2
0,0,0,0.0
1,0,1,35.0
2,0,2,70.0
3,0,3,105.0
4,0,4,140.0
5,0,5,175.0
6,0,6,210.0
7,0,7,245.0
8,0,8,35.0
9,0,9,49.49747468305833
10,0,10,78.26237921249263
11,0,11,110.67971810589327
12,0,12,144.30869689661813
13,0,13,178.46568297574746
14,0,14,212.8966885604377
15,0,15,247.48737341529164
16,0,16,70.0
17,0,17,78.26237921249263
18,0,18,98.99494936611666
19,0,19,126.19429464123962
20,0,20,156.52475842498527
21,0,21,188.48076824970764
22,0,22,221.35943621178654
23,0,23,254.80384612481814
24,0,24,105.0
25,0,25,110.67971810589327
26,0,26,126.19429464123962
27,0,27,148.49242404917499
28,0,28,175.0
29,0,29,204.08331631958552
30,0,30,234.7871376374779
31,0,31,266.5520587052368
32,0,32,140.0
33,0,33,144.30869689661813
34,0,34,156.52475842498527
35,0,35,175.0
36,0,36,197.9898987322333
37,0,37,224.1093483101497
38,0,38,252.38858928247924
39,0,39,282.17902119044925
40,0,40,175.0
41,0,41,178.46568297574746
42,0,42,188.48076824970764
43,0,43,204.08331631958552
44,0,44,224.1093483101497
45,0,45,247.48737341529164
46,0,46,273.3587386567329
47,0,47,301.0813843464919
48,0,48,210.0
49,0,49,212.8966885604377
50,0,50,221.35943621178654
51,0,51,234.7871376374779
52,0,52,252.38858928247924
53,0,53,273.3587386567329
54,0,54,296.98484809834997
55,0,55,322.6840560052511
56,0,56,245.0
57,0,57,247.48737341529164
58,0,58,254.80384612481814
59,0,59,266.5520587052368
60,0,60,282.17902119044925
61,0,61,301.0813843464919
62,0,62,322.6840560052511
63,0,63,346.4823227814083
64,1,0,35.0
65,1,1,0.0
66,1,2,35.0
67,1,3,70.0
68,1,4,105.0
69,1,5,140.0
70,1,6,175.0
71,1,7,210.0
72,1,8,49.49747468305833
73,1,9,35.0
74,1,10,49.49747468305833
75,1,11,78.26237921249263
76,1,12,110.67971810589327
77,1,13,144.30869689661813
78,1,14,178.46568297574746
79,1,15,212.8966885604377
80,1,16,78.26237921249263
81,1,17,70.0
82,1,18,78.26237921249263
83,1,19,98.99494936611666
84,1,20,126.19429464123962
85,1,21,156.52475842498527
86,1,22,188.48076824970764
87,1,23,221.35943621178654
88,1,24,110.67971810589327
89,1,25,105.0
90,1,26,110.67971810589327
91,1,27,126.19429464123962
92,1,28,148.49242404917499
93,1,29,175.0
94,1,30,204.08331631958552
95,1,31,234.7871376374779
96,1,32,144.30869689661813
97,1,33,140.0
98,1,34,144.30869689661813
99,1,35,156.52475842498527
100,1,36,175.0
101,1,37,197.9898987322333
102,1,38,224.1093483101497
103,1,39,252.38858928247924
104,1,40,178.46568297574746
105,1,41,175.0
106,1,42,178.46568297574746
107,1,43,188.48076824970764
108,1,44,204.08331631958552
109,1,45,224.1093483101497
110,1,46,247.48737341529164
111,1,47,273.3587386567329
112,1,48,212.8966885604377
113,1,49,210.0
114,1,50,212.8966885604377
115,1,51,221.35943621178654
116,1,52,234.7871376374779
117,1,53,252.38858928247924
118,1,54,273.3587386567329
119,1,55,296.98484809834997
120,1,56,247.48737341529164
121,1,57,245.0
122,1,58,247.48737341529164
123,1,59,254.80384612481814
124,1,60,266.5520587052368
125,1,61,282.17902119044925
126,1,62,301.0813843464919
127,1,63,322.6840560052511
128,2,0,70.0
129,2,1,35.0
130,2,2,0.0
131,2,3,35.0
132,2,4,70.0
133,2,5,105.0
134,2,6,140.0
135,2,7,175.0
136,2,8,78.26237921249263
137,2,9,49.49747468305833
138,2,10,35.0
139,2,11,49.49747468305833
140,2,12,78.26237921249263
141,2,13,110.67971810589327
142,2,14,144.30869689661813
143,2,15,178.46568297574746
144,2,16,98.99494936611666
145,2,17,78.26237921249263
146,2,18,70.0
147,2,19,78.26237921249263
148,2,20,98.99494936611666
149,2,21,126.19429464123962
150,2,22,156.52475842498527
151,2,23,188.48076824970764
152,2,24,126.19429464123962
153,2,25,110.67971810589327
154,2,26,105.0
155,2,27,110.67971810589327
156,2,28,126.19429464123962
157,2,29,148.49242404917499
158,2,30,175.0
159,2,31,204.08331631958552
160,2,32,156.52475842498527
161,2,33,144.30869689661813
162,2,34,140.0
163,2,35,144.30869689661813
164,2,36,156.52475842498527
165,2,37,175.0
166,2,38,197.9898987322333
167,2,39,224.1093483101497
168,2,40,188.48076824970764
169,2,41,178.46568297574746
170,2,42,175.0
171,2,43,178.46568297574746
172,2,44,188.48076824970764
173,2,45,204.08331631958552
174,2,46,224.1093483101497
175,2,47,247.48737341529164
176,2,48,221.35943621178654
177,2,49,212.8966885604377
178,2,50,210.0
179,2,51,212.8966885604377
180,2,52,221.35943621178654
181,2,53,234.7871376374779
182,2,54,252.38858928247924
183,2,55,273.3587386567329
184,2,56,254.80384612481814
185,2,57,247.48737341529164
186,2,58,245.0
187,2,59,247.48737341529164
188,2,60,254.80384612481814
189,2,61,266.5520587052368
190,2,62,282.17902119044925
191,2,63,301.0813843464919
192,3,0,105.0
193,3,1,70.0
194,3,2,35.0
195,3,3,0.0
196,3,4,35.0
197,3,5,70.0
198,3,6,105.0
199,3,7,140.0
200,3,8,110.67971810589327
201,3,9,78.26237921249263
202,3,10,49.49747468305833
203,3,11,35.0
204,3,12,49.49747468305833
205,3,13,78.26237921249263
206,3,14,110.67971810589327
207,3,15,144.30869689661813
208,3,16,126.19429464123962
209,3,17,98.99494936611666
210,3,18,78.26237921249263
211,3,19,70.0
212,3,20,78.26237921249263
213,3,21,98.99494936611666
214,3,22,126.19429464123962
215,3,23,156.52475842498527
216,3,24,148.49242404917499
217,3,25,126.19429464123962
218,3,26,110.67971810589327
219,3,27,105.0
220,3,28,110.67971810589327
221,3,29,126.19429464123962
222,3,30,148.49242404917499
223,3,31,175.0
224,3,32,175.0
225,3,33,156.52475842498527
226,3,34,144.30869689661813
227,3,35,140.0
228,3,36,144.30869689661813
229,3,37,156.52475842498527
230,3,38,175.0
231,3,39,197.9898987322333
232,3,40,204.08331631958552
233,3,41,188.48076824970764
234,3,42,178.46568297574746
235,3,43,175.0
236,3,44,178.46568297574746
237,3,45,188.48076824970764
238,3,46,204.08331631958552
239,3,47,224.1093483101497
240,3,48,234.7871376374779
241,3,49,221.35943621178654
242,3,50,212.8966885604377
243,3,51,210.0
244,3,52,212.8966885604377
245,3,53,221.35943621178654
246,3,54,234.7871376374779
247,3,55,252.38858928247924
248,3,56,266.5520587052368
249,3,57,254.80384612481814
250,3,58,247.48737341529164
251,3,59,245.0
252,3,60,247.48737341529164
253,3,61,254.80384612481814
254,3,62,266.5520587052368
255,3,63,282.17902119044925
256,4,0,140.0
257,4,1,105.0
258,4,2,70.0
259,4,3,35.0
260,4,4,0.0
261,4,5,35.0
262,4,6,70.0
263,4,7,105.0
264,4,8,144.30869689661813
265,4,9,110.67971810589327
266,4,10,78.26237921249263
267,4,11,49.49747468305833
268,4,12,35.0
269,4,13,49.49747468305833
270,4,14,78.26237921249263
271,4,15,110.67971810589327
272,4,16,156.52475842498527
273,4,17,126.19429464123962
274,4,18,98.99494936611666
275,4,19,78.26237921249263
276,4,20,70.0
277,4,21,78.26237921249263
278,4,22,98.99494936611666
279,4,23,126.19429464123962
280,4,24,175.0
281,4,25,148.49242404917499
282,4,26,126.19429464123962
283,4,27,110.67971810589327
284,4,28,105.0
285,4,29,110.67971810589327
286,4,30,126.19429464123962
287,4,31,148.49242404917499
288,4,32,197.9898987322333
289,4,33,175.0
290,4,34,156.52475842498527
291,4,35,144.30869689661813
292,4,36,140.0
293,4,37,144.30869689661813
294,4,38,156.52475842498527
295,4,39,175.0
296,4,40,224.1093483101497
297,4,41,204.08331631958552
298,4,42,188.48076824970764
299,4,43,178.46568297574746
300,4,44,175.0
301,4,45,178.46568297574746
302,4,46,188.48076824970764
303,4,47,204.08331631958552
304,4,48,252.38858928247924
305,4,49,234.7871376374779
306,4,50,221.35943621178654
307,4,51,212.8966885604377
308,4,52,210.0
309,4,53,212.8966885604377
310,4,54,221.35943621178654
311,4,55,234.7871376374779
312,4,56,282.17902119044925
313,4,57,266.5520587052368
314,4,58,254.80384612481814
315,4,59,247.48737341529164
316,4,60,245.0
317,4,61,247.48737341529164
318,4,62,254.80384612481814
319,4,63,266.5520587052368
320,5,0,175.0
321,5,1,140.0
322,5,2,105.0
323,5,3,70.0
324,5,4,35.0
325,5,5,0.0
326,5,6,35.0
327,5,7,70.0
328,5,8,178.46568297574746
329,5,9,144.30869689661813
330,5,10,110.67971810589327
331,5,11,78.26237921249263
332,5,12,49.49747468305833
333,5,13,35.0
334,5,14,49.49747468305833
335,5,15,78.26237921249263
336,5,16,188.48076824970764
337,5,17,156.52475842498527
338,5,18,126.19429464123962
339,5,19,98.99494936611666
340,5,20,78.26237921249263
341,5,21,70.0
342,5,22,78.26237921249263
343,5,23,98.99494936611666
344,5,24,204.08331631958552
345,5,25,175.0
346,5,26,148.49242404917499
347,5,27,126.19429464123962
348,5,28,110.67971810589327
349,5,29,105.0
350,5,30,110.67971810589327
351,5,31,126.19429464123962
352,5,32,224.1093483101497
353,5,33,197.9898987322333
354,5,34,175.0
355,5,35,156.52475842498527
356,5,36,144.30869689661813
357,5,37,140.0
358,5,38,144.30869689661813
359,5,39,156.52475842498527
360,5,40,247.48737341529164
361,5,41,224.1093483101497
362,5,42,204.08331631958552
363,5,43,188.48076824970764
364,5,44,178.46568297574746
365,5,45,175.0
366,5,46,178.46568297574746
367,5,47,188.48076824970764
368,5,48,273.3587386567329
369,5,49,252.38858928247924
370,5,50,234.7871376374779
371,5,51,221.35943621178654
372,5,52,212.8966885604377
373,5,53,210.0
374,5,54,212.8966885604377
375,5,55,221.35943621178654
376,5,56,301.0813843464919
377,5,57,282.17902119044925
378,5,58,266.5520587052368
379,5,59,254.80384612481814
380,5,60,247.48737341529164
381,5,61,245.0
382,5,62,247.48737341529164
383,5,63,254.80384612481814
