id,pop,vacc
20007,1493,0.9256530475552579
20105,19750,0.9206582278481013
20106,3316,0.9128468033775633
20109,41198,0.9165978931016069
20110,44006,0.9213061855201563
20111,31925,0.9147063429913861
20112,26319,0.9253011132641817
20115,4735,0.914466737064414
20117,3489,0.9131556319862425
20119,3999,0.9207301825456364
20120,30894,0.9141904576940506
20121,23031,0.9044765750510182
20124,14825,0.9165598650927488
20132,17160,0.9222027972027972
20135,3722,0.9150994089199355
20136,24741,0.92506365951255
20137,2318,0.9163071613459879
20141,8624,0.9271799628942486
20147,56623,0.9237412358935415
20148,40247,0.9307526026784605
20151,19142,0.922839828649044
20152,25265,0.9302988323768059
20155,31656,0.9187831690674754
20158,3514,0.9260102447353443
20164,37798,0.9104449970897931
20165,30506,0.9179505671015538
20166,15266,0.9135988471112275
20169,24680,0.9303889789303079
20170,39929,0.9194319917854191
20171,50948,0.9176218889848473
20175,34187,0.9229531693333723
20176,49201,0.9234568403081238
20180,6461,0.929113140380746
20181,6778,0.9176748303334317
20186,15107,0.9183160124445621
20187,16544,0.917674081237911
20190,17020,0.8834900117508813
20191,28550,0.8925744308231174
20194,10773,0.9007704446300937
20198,1136,0.9119718309859155
22003,53360,0.9089392803598201
22015,44979,0.913492963382912
22025,13504,0.9182464454976303
22026,15706,0.9211766203998472
22027,5599,0.9194499017681729
22030,53194,0.9078091514080535
22031,26206,0.9110509043730444
22032,27451,0.9125350624749554
22033,34832,0.9027905374368397
22035,1807,0.902600996126176
22039,17477,0.9119414087085884
22041,25172,0.8964722707770538
22042,35521,0.8958925705920442
22043,24868,0.9063857165835612
22044,7889,0.9013816706806946
22046,14748,0.9166666666666666
22060,5129,0.9144082667186586
22066,18175,0.9057496561210454
22079,28924,0.908795463974554
22101,29834,0.8991083998122947
22102,19180,0.9128258602711158
22124,17796,0.9041919532479209
22125,5965,0.9227158424140821
22134,2016,0.9171626984126984
22150,26887,0.9017368988730613
22151,17508,0.9083276216586703
22152,27936,0.9136955899198167
22153,25874,0.8917059596506145
22172,9715,0.9232115285640762
22180,22018,0.9093468979925515
22181,9844,0.9092848435595287
22182,26468,0.9013525766963881
22191,58891,0.9190878062861897
22192,40365,0.9222098352533135
22193,80904,0.9216973202808266
22201,34119,0.9139189308010199
22202,25613,0.908913442392535
22203,12287,0.9163343371042565
22204,52963,0.916451107376848
22205,17716,0.9200722510724768
22206,14688,0.9069308278867102
22207,34443,0.9221902853990651
22209,15239,0.9093116346216943
22213,2936,0.909741144414169
22301,11373,0.9113690319176998
22302,16391,0.9189799280092734
22303,13901,0.8946838356952738
22304,38577,0.9108795396220546
22305,14959,0.9205160772778929
22306,29642,0.9000067471830511
22307,8064,0.8834325396825397
22308,14162,0.9135009179494422
22309,33355,0.9022635287063409
22310,30984,0.9056287115930803
22311,20102,0.9126455079096607
22312,28858,0.9132303000900963
22314,27199,0.90440825030332
22315,24850,0.8985915492957747
22401,22584,0.9230428622033298
22405,28250,0.9198230088495575
22406,23528,0.916695001700102
22407,56615,0.9173187317848627
22408,28197,0.9208071780685888
22427,3188,0.926913425345044
22432,433,0.9145496535796767
22433,2043,0.9172785119921684
22435,2302,0.8788010425716768
22436,1224,0.8888888888888888
