mapping
66
83
80
71
51
51
66
78
64
56
70
70
70
70
26
26
26
37
56
71
26
17
83
64
78
100
38
38
70
70
70
100
97
83
83
56
64
58
64
78
63
80
41
41
38
38
38
41
38
80
80
64
80
66
63
119
119
119
119
119
0
0
123
123
123
123
123
123
123
123
123
62
0
85
85
85
85
85
85
85
120
121
120
35
15
121
15
59
106
81
13
44
13
44
94
3
8
8
8
108
8
9
73
73
73
73
19
54
5
6
11
94
19
79
94
94
54
10
19
33
33
94
19
10
82
19
108
10
94
54
1
94
94
94
19
5
5
54
108
108
94
19
54
1
54
6
94
54
54
82
122
122
16
122
122
122
122
16
16
122
122
16
16
122
16
122
16
110
122
82
8
82
1
90
43
82
53
14
105
105
105
58
58
58
58
58
58
58
26
26
26
26
51
58
0
38
38
2
38
2
38
47
117
117
70
103
89
115
115
116
116
20
87
44
81
94
102
102
49
59
81
49
44
111
81
59
49
26
26
35
28
26
75
92
10
13
44
106
44
92
14
14
125
125
130
130
34
68
110
110
34
34
130
125
110
68
112
55
95
55
115
26
120
35
35
99
15
115
120
112
112
34
110
68
68
110
34
125
88
68
130
110
68
130
112
52
130
101
114
131
131
12
12
21
12
114
131
101
52
55
55
55
36
45
61
21
52
48
125
21
101
52
131
21
114
131
125
52
12
131
55
132
132
132
115
121
15
35
132
96
96
96
99
15
96
96
99
93
93
15
89
23
17
23
81
92
13
59
42
92
13
101
13
16
16
106
44
59
13
42
44
10
10
44
10
77
92
10
10
49
30
101
49
49
70
85
85
85
38
100
100
38
39
85
85
85
84
39
38
38
38
38
38
38
38
38
0
0
84
84
84
84
84
84
40
38
38
31
41
86
62
62
25
25
25
25
31
74
103
41
103
57
109
57
109
109
109
109
109
113
25
25
0
86
86
0
109
109
109
109
109
91
113
8
113
113
109
113
0
0
86
0
0
86
0
0
0
0
0
0
62
119
91
109
91
109
1
24
24
24
1
82
90
1
1
53
1
119
1
82
8
1
90
1
1
1
51
51
78
56
50
58
78
80
4
43
38
38
38
38
100
100
38
38
38
38
100
38
38
38
100
100
100
7
7
7
128
63
56
105
105
105
105
7
7
131
118
9
18
8
3
29
8
8
8
108
108
8
109
9
69
8
9
82
60
8
109
75
76
76
41
70
41
114
38
38
38
70
100
41
70
52
121
35
62
70
70
38
70
100
90
87
98
79
79
15
17
89
23
79
37
37
37
127
65
104
127
87
67
67
65
127
67
90
87
20
127
116
79
20
87
20
116
116
117
117
37
7
7
7
7
7
2
2
38
104
67
67
20
129
46
46
124
27
27
103
46
46
103
124
46
41
2
2
38
38
38
53
43
72
113
46
91
46
46
46
113
113
27
113
31
41
31
31
103
31
126
4
17
98
72
23
79
98
6
23
98
23
23
23
23
79
79
72
107
107
107
107
107
56
66
83
56
43
107
106
13
74
31
74
41
71
32
22
78
51
32
80
56
56
92
59
58
50
84
